unit_id,county,township,service_point_count,essential_service_count,service_accessibility_score,service_gap_score,nearest_essential_service_distance_m,estimated_nearest_essential_travel_time_min,road_segment_count,road_length_km,mean_road_speed_kmh,capacity_norm,essential_norm,travel_time_inverse_norm
巴南区|鱼洞街道|567,巴南区,鱼洞街道,8440.0,724.0,0.57699,0.42301,622.407,1.437,179.0,156.086566,35.089641,0.0,0.0,0.0
江津区|几江街道|480,江津区,几江街道,8911.0,719.0,0.575095,0.424905,1711.271,4.311,130.0,80.516818,32.150771,0.0,0.0,0.0
涪陵区|荔枝街道|956,涪陵区,荔枝街道,9246.0,701.0,0.569541,0.430459,3729.197,6.522,164.0,179.394779,46.314173,0.0,0.0,0.0
渝北区|龙山街道|695,渝北区,龙山街道,8529.0,654.0,0.566484,0.433516,133.633,0.294,219.0,95.702194,36.862543,0.0,0.0,0.0
渝中区|石油路街道|613,渝中区,石油路街道,8048.0,631.0,0.549462,0.450538,69.632,0.199,111.0,28.082439,28.307967,0.0,0.0,0.0
合川区|南津街街道|283,合川区,南津街街道,7942.0,614.0,0.537878,0.462122,699.564,1.495,583.0,333.266393,37.899944,0.0,0.0,0.0
九龙坡区|九龙镇|77,九龙坡区,九龙镇,8092.0,574.0,0.536527,0.463473,69.586,0.161,146.0,78.421988,35.032011,0.0,0.0,0.0
九龙坡区|杨家坪街道|781,九龙坡区,杨家坪街道,8037.0,574.0,0.535329,0.464671,46.744,0.116,94.0,41.465215,32.616134,0.0,0.0,0.0
沙坪坝区|渝碚路街道|791,沙坪坝区,渝碚路街道,7326.0,619.0,0.52999,0.47001,21.576,0.048,311.0,49.555148,36.561041,0.0,0.0,0.0
丰都县|三合街道|233,丰都县,三合街道,7750.0,598.0,0.525996,0.474004,1283.783,2.144,88.0,99.427914,48.501387,0.0,0.0,0.0
渝北区|龙塔街道|59,渝北区,龙塔街道,6664.0,664.0,0.52469,0.47531,61.509,0.153,177.0,68.566666,32.562919,0.0,0.0,0.0
